,townstate,poverty,med_income,hs_completion,n_households,population,density,crime_rate,property_crime,violent_crime,students_per_teacher,gini,lat,lng,unemployment_rate,home_price,crime_rate_pc,vcrime_rate_pc,pcrime_rate_pc,people_per_household,state
84,"Alton, Missouri",32.9,31899.0,71.7,1390,3171,6.8,1.0,1.0,0.0,11.5,0.4613498953178414,36.69941,-91.36229,4.587610195477113,90878.0,0.000315357931251971,0.0,0.000315357931251971,2.281294964028777,Missouri
85,"Altoona, Iowa",6.1,79132.0,94.0,6947,19559,247.7,554.0,523.0,31.0,16.5,0.4317,41.644459999999995,-93.45795,3.0,219307.0,0.028324556470167187,0.0015849481057313769,0.02673960836443581,2.815459910752843,Iowa
86,"Altoona, Pennsylvania",23.2,40735.0,89.1,26061,61132,461.04999999999995,977.0,821.0,156.0,22.3,0.4488,40.53402,-78.37120000000002,4.1,87252.0,0.01598180985408624,0.0025518550022901264,0.013429954851796114,2.345727332028702,Pennsylvania
87,"Altoona, Wisconsin",8.4,53270.0,94.4,3133,7607,555.3,42.0,38.0,4.0,15.25,0.424,44.80402,-91.43545,3.4,205925.0,0.005521230445642172,0.0005258314710135402,0.004995398974628631,2.4280242578997764,Wisconsin
88,"Alturas, California",19.0,36450.0,87.8,2314,5500,3.6,138.0,116.0,22.0,12.333333333333336,0.4613498953178414,41.45588,-120.53621000000001,4.587610195477113,103734.0,0.02509090909090909,0.004,0.02109090909090909,2.376836646499568,California
89,"Altus, Arkansas",19.9,30867.0,85.5,896,1831,21.5,16.0,14.0,2.0,14.0,0.4613498953178414,35.44217000000001,-93.72353000000001,4.587610195477113,61036.0,0.008738394320043691,0.0010922992900054614,0.007646095030038231,2.0435267857142856,Arkansas
90,"Altus, Oklahoma",18.9,43656.0,81.1,8157,20676,45.5,679.0,621.0,58.0,13.0,0.4613498953178414,34.64013,-99.31565,4.587610195477113,59806.0,0.0328400077384407,0.0028051847552718126,0.030034822983168893,2.5347554247885253,Oklahoma
91,"Alva, Oklahoma",16.1,58938.0,88.4,2557,7031,4.0,65.0,62.0,3.0,13.6,0.4613498953178414,36.84324,-98.77287,4.587610195477113,79737.0,0.009244773147489688,0.00042668183757644715,0.008818091309913241,2.749706687524443,Oklahoma
92,"Alvarado, Texas",13.9,54222.0,83.7,6850,21041,77.6,127.0,117.0,10.0,16.166666666666668,0.4038,32.41579,-97.20169,3.4,176989.0,0.006035834798726296,0.00047526258257687374,0.005560572216149423,3.0716788321167883,Texas
93,"Alvin, Texas",15.5,57098.0,84.8,16050,46869,113.5,701.0,645.0,56.0,16.181818181818183,0.4278,29.38147,-95.24205,3.8,194442.0,0.014956581109048624,0.0011948196035759244,0.013761761505472701,2.9201869158878506,Texas
